"Timestamp","Vous êtes ? ","Quel âge avez-vous?","De quelle catégorie est votre permis?","Depuis combien de temps conduisez-vous?","En moyenne, combien de temps passez vous  en roulant pendant une journée ?","Prenez vous les dispositions nécessaires avant de prendre l’autoroute(moteur, vérification des pneus…)","Avez-vous déjà eu un accident récemment?","Quand a eu lieu l'accident ?","A quelle heure a eu l'accident ?","Responsabilité de l'accident :","Lors de votre accident, vous étiez :","Quelles ont été les conséquences suite à cet accident ?","Suite à votre accident, avez-vous eu besoin d'un arrêt de travail ou d'une interruption de votre scolarité  ?","D'après vous quelles sont les causes réelles de ces accidents","A votre avis, laquelle parmi les causes liées à l'infrastructure est le facteur prépondérant des accidents? ","Après l'accident , votre conduite : ","Vous collez le véhicule devant vous ou bien vous lui faites des appels de phares pour lui dire d’aller plus vite ou de changer de voie :","Vous ne vous souvenez plus où vous avez garé votre véhicule dans un grand parking :","Vous tournez à droite pour entrer sur une route principale et vous croisez le chemin d’un véhicule que vous n’aviez pas vu ou dont vous aviez mal estimé la vitesse :","Délibérément, vous ne respectez pas la limitation de vitesse tard dans la nuit ou très tôt le matin :","Vous  respectez pas le passage piéton :","Vous sous-estimez la vitesse d’un véhicule approchant lorsque vous dépassez :","A la présence d'un dispositif de contrôle(policier,radar...) , vous respectez la vitesse limite:","Vous pénétrez par une mauvaise voie dans un rond-point ou à l’approche d’une intersection :","Vous lisez mal les panneaux et vous prenez la mauvaise sortie à un rond-point : ","Vous vous trouvez impliqué(e) dans une « course non officielle » avec d’autres conducteurs :","   Vous ne respectez pas la limitation de vitesse lorsque la chaussée d'une autoroute comporte trois bandes  de circulation :","Est ce que vous appelez ou répondez aux appels téléphoniques pendant que vous conduisez?","Est ce que vous envoyez des SMS depuis votre téléphone portable en conduisant?"
"2018/04/09 4:55:29 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Moins d'un an","12h - 16h","50/50","En voiture","","","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Fréquemment","Parfois","Jamais","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Jamais","",""
"2018/04/09 4:58:34 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Rarement","Rarement","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Jamais","Jamais","",""
"2018/04/09 5:03:03 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Congestion de la route","","S’est plutôt améliorée","Assez souvent","Parfois","Assez souvent","Presque toujours","Presque toujours","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Presque toujours","",""
"2018/04/09 5:08:59 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Rarement","",""
"2018/04/09 5:16:22 PM GMT+1","Un homme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Parfois","Parfois","Rarement","Presque toujours","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Rarement","Jamais","Rarement","",""
"2018/04/09 5:25:41 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Jamais","Jamais","Parfois","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/09 5:28:12 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","","N’a pas changée","Assez souvent","Jamais","Rarement","Fréquemment","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Jamais","Parfois","Jamais","",""
"2018/04/09 5:33:08 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Jamais","Oui","Moins d'un an","20h - 0h","50/50","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","J'était malade;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Presque toujours","Fréquemment","Assez souvent","Jamais","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Fréquemment","Fréquemment","Assez souvent","",""
"2018/04/09 5:34:00 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Rarement","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Jamais","Jamais","Jamais","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Parfois","Jamais","",""
"2018/04/09 5:45:35 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Rarement","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Rarement","Rarement","",""
"2018/04/09 5:47:10 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Oui","Plus d'un an","0h - 4h","50/50","En voiture","Corporelles;Matérielles","Incapacité Totale de Travail (ITT)","J'était de mauvaise humeur;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation","S’est plutôt améliorée","Parfois","Rarement","Parfois","Assez souvent","Fréquemment","Fréquemment","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Parfois","Fréquemment","Fréquemment","",""
"2018/04/09 5:47:16 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Assez souvent","Rarement","Parfois","Parfois","Rarement","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Fréquemment","",""
"2018/04/09 5:50:57 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","12h - 16h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Facteurs externes (conditions météorologiques, animaux...);Des problèmes d'infrastructures et de signalisation (aménagement comme pistes cyclables non protégées, travaux sur la route, routes mal entretenues).","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Parfois","Parfois","Jamais","Parfois","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Parfois","",""
"2018/04/09 5:55:09 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Rarement","Jamais","Parfois","Rarement","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 5:58:42 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Parfois","Jamais","Rarement","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/09 6:08:45 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Rarement","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 6:13:17 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Parfois","Jamais","Rarement","Rarement","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Parfois","Jamais","",""
"2018/04/09 6:31:39 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Plus de 10 ans","Entre 30 et 60 minutes","Rarement","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à la signalisation","N’a pas changée","Parfois","Assez souvent","Parfois","Parfois","Assez souvent","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 6:37:09 PM GMT+1","Une femme","Plus de 42 ans","B","Plus de 10 ans","Plus de 3 heures","Parfois","Non","","","","","","","","","","Parfois","Jamais","Rarement","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","",""
"2018/04/09 6:39:32 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Assez souvent","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 6:40:30 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Jamais","Assez souvent","Rarement","Jamais","Assez souvent","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Jamais","Jamais","Assez souvent","",""
"2018/04/09 6:45:01 PM GMT+1","Un homme","Entre 26 et 33 ans","A et B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Jamais","Jamais","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Parfois","Jamais","",""
"2018/04/09 6:45:10 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Assez souvent","Non","","","","","","","","","","Assez souvent","Parfois","Rarement","Fréquemment","Fréquemment","Assez souvent","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Parfois","Assez souvent","",""
"2018/04/09 6:47:42 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","8h - 12h","Responsable","En voiture","Matérielles","Incapacité Totale de Travail (ITT)","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à la signalisation;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Rarement","Rarement","Parfois","Jamais","Assez souvent","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Rarement","Jamais","",""
"2018/04/09 6:54:15 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Jamais","Rarement","Jamais","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 6:58:32 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Jamais","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 7:03:59 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Jamais","Non","","","","","","","","","","Parfois","Jamais","Rarement","Parfois","Presque toujours","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Parfois","Rarement","",""
"2018/04/09 7:05:20 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Non","","","","","","","","","","Fréquemment","Assez souvent","Rarement","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Rarement","Jamais","Jamais","",""
"2018/04/09 7:12:55 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Moins d'un an","20h - 0h","Pas responsable","En voiture","Corporelles;Matérielles","Arrêt de travail / Interruption de scolarité","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Assez souvent","Presque toujours","Rarement","Assez souvent","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Assez souvent","",""
"2018/04/09 7:25:24 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Assez souvent","Non","","","","","","","","","","Parfois","Jamais","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/09 7:41:21 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Congestion de la route","Facteur lié au marquage au sol;Facteur lié à la signalisation;Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Fréquemment","Parfois","Rarement","Assez souvent","Parfois","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Parfois","Fréquemment","",""
"2018/04/09 7:55:11 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Rarement","Parfois","Rarement","Rarement","Assez souvent","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Rarement","Rarement","",""
"2018/04/09 7:59:03 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Rarement","Non","","","","","","","","","","Parfois","Rarement","Parfois","Assez souvent","Assez souvent","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Rarement","Assez souvent","Fréquemment","",""
"2018/04/09 8:16:22 PM GMT+1","Une femme","Entre 26 et 33 ans","A","Moins de  3 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Assez souvent","Parfois","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 8:19:04 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","0h - 4h","Responsable","En voiture","Corporelles;Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","J'était sous l'effet d'une drogue ou en état d'ivresse;Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Rarement","Parfois","Parfois","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Parfois","Rarement","Rarement","Parfois","",""
"2018/04/09 8:21:45 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Rarement","Non","","","","","","","","","","Presque toujours","Parfois","Rarement","Presque toujours","Presque toujours","Presque toujours","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/09 8:27:19 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 0 et 30 minutes","Jamais","Non","","","","","","","","","","Jamais","Parfois","Rarement","Jamais","Presque toujours","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 8:29:34 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Assez souvent","Non","","","","","","","","","","Fréquemment","Assez souvent","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/09 8:30:41 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Parfois","Non","","","","","","","","","","Parfois","Rarement","Parfois","Parfois","Parfois","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Rarement","Jamais","Jamais","",""
"2018/04/09 9:17:19 PM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Rarement","Parfois","Parfois","Parfois","Presque toujours","Parfois","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Parfois","",""
"2018/04/09 9:40:16 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Rarement","Non","","","","","","","","","","Rarement","Jamais","Parfois","Assez souvent","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 9:48:13 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 0 et 30 minutes","Presque toujours","Non","","","","","","","","","","Rarement","Rarement","Jamais","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Jamais","",""
"2018/04/09 9:48:13 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","4h - 8h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt dégradée","Rarement","Assez souvent","Parfois","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Rarement","",""
"2018/04/09 10:13:06 PM GMT+1","Une femme","Entre 34 et 41 ans","C","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Rarement","Rarement","Rarement","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 10:14:11 PM GMT+1","Un homme","Entre 18 et 25 ans","A","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Fréquemment","Assez souvent","Parfois","Parfois","Assez souvent","Presque toujours","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Rarement","",""
"2018/04/09 10:31:17 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Presque toujours","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","","Facteur lié à l'entretien de la route (trous / dos-d'âne );Sens de responsabilité des conducteurs ","S’est plutôt améliorée","Parfois","Parfois","Jamais","Rarement","Fréquemment","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Rarement","Jamais","Jamais","Jamais","",""
"2018/04/09 10:40:12 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 1 heure et 3 heures","Presque toujours","Non","","","","","","","","","","Parfois","Rarement","Jamais","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Jamais","",""
"2018/04/09 10:46:49 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Parfois","Oui","Plus d'un an","12h - 16h","Pas responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..);Facteurs externes (conditions météorologiques, animaux...)","Chien errant","N’a pas changée","Parfois","Parfois","Assez souvent","Parfois","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Fréquemment","Jamais","Jamais","",""
"2018/04/09 10:58:29 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Fréquemment","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Rarement","Rarement","Parfois","Jamais","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Parfois","Jamais","",""
"2018/04/09 11:01:16 PM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Oui","Plus d'un an","8h - 12h","Responsable","En voiture","Matérielles","","Manque de concentration (utilisation du téléphone ou préoccupé par autre chose..)","Facteur lié à la signalisation","S’est plutôt améliorée","Fréquemment","Jamais","Rarement","Rarement","Parfois","Rarement","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/09 11:08:30 PM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Rarement","Parfois","Parfois","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Rarement","",""
"2018/04/09 11:12:33 PM GMT+1","Une femme","Entre 34 et 41 ans","B","Plus de 10 ans","Entre 30 et 60 minutes","Fréquemment","Oui","Plus d'un an","16h - 20h","Pas responsable","En voiture","Psychologiques;Matérielles","Arrêt de travail / Interruption de scolarité","Facteurs externes (conditions météorologiques, animaux...)","Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt améliorée","Parfois","Rarement","Rarement","Rarement","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Jamais","Jamais","",""
"2018/04/09 11:58:05 PM GMT+1","Un homme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Plus de 3 heures","Fréquemment","Non","","","","","","","","","","Presque toujours","Jamais","Jamais","Rarement","Presque toujours","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Jamais","Assez souvent","",""
"2018/04/10 12:22:54 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Assez souvent","Non","","","","","","","","","","Parfois","Fréquemment","Rarement","Parfois","Fréquemment","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Rarement","Rarement","",""
"2018/04/10 12:27:34 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Entre 3 et 10 ans","Entre 30 et 60 minutes","Parfois","Non","","","","","","","","","","Parfois","Parfois","Rarement","Rarement","Parfois","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Parfois","Parfois","Parfois","Rarement","",""
"2018/04/10 12:29:57 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Fréquemment","Non","","","","","","","","","","Rarement","Fréquemment","Parfois","Jamais","Presque toujours","Parfois","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Rarement","Parfois","Jamais","",""
"2018/04/10 12:42:13 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Assez souvent","Oui","Moins d'un an","16h - 20h","Pas responsable","En voiture","Matérielles","","Manque de connaissance de la base de conduite","Facteur lié à l'entretien de la route (trous / dos-d'âne )","N’a pas changée","Assez souvent","Parfois","Rarement","Presque toujours","Assez souvent","Jamais","Je respecte la vitesse quand il y a un dispositif de sécurité sinon non","Jamais","Rarement","Rarement","Fréquemment","",""
"2018/04/10 1:02:50 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 1 heure et 3 heures","Rarement","Non","","","","","","","","","","Rarement","Fréquemment","Jamais","Jamais","Rarement","Rarement","Je ne respecte pas  la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Jamais","Jamais","Rarement","",""
"2018/04/10 1:24:34 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Oui","Plus d'un an","20h - 0h","Pas responsable","En voiture","Matérielles","Arrêt de travail / Interruption de scolarité","Je ne sais pas","Facteur lié à l'éclairage;Facteur lié à l'entretien de la route (trous / dos-d'âne )","S’est plutôt dégradée","Rarement","Jamais","Jamais","Jamais","Presque toujours","Presque toujours","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
"2018/04/10 2:57:25 AM GMT+1","Une femme","Entre 26 et 33 ans","B","Moins de  3 ans","Entre 30 et 60 minutes","Jamais","Oui","Moins d'un an","16h - 20h","50/50","En voiture","Matérielles","","J'était de mauvaise humeur","","S’est plutôt améliorée","Fréquemment","Jamais","Rarement","Jamais","Assez souvent","Rarement","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Rarement","Rarement","Parfois","Jamais","",""
"2018/04/10 6:18:36 AM GMT+1","Une femme","Entre 18 et 25 ans","B","Moins de  3 ans","Entre 0 et 30 minutes","Fréquemment","Non","","","","","","","","","","Parfois","Presque toujours","Rarement","Jamais","Presque toujours","Assez souvent","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Assez souvent","Jamais","Jamais","Parfois","",""
"2018/04/10 8:54:58 AM GMT+1","Un homme","Entre 18 et 25 ans","B","Entre 3 et 10 ans","Entre 1 heure et 3 heures","Parfois","Non","","","","","","","","","","Jamais","Jamais","Rarement","Jamais","Fréquemment","Jamais","Je respecte la vitesse même si il y a ou non un dispositif de contrôle","Jamais","Jamais","Jamais","Jamais","",""
